TS,PID,TYPE,FLAG,PATTERN,OPEN,CREATE,DELETE,ENCRYPT,FILENAME
319841059163,2115,0,1,0,0,1,0,1,/sys/kernel/debug/tracing/events/syscalls/sys_enter_unlink/id
319841681184,2115,0,1,0,0,1,0,1,/sys/kernel/debug/tracing/events/syscalls/sys_enter_unlinkat/id
319846240073,2115,0,1,0,0,1,0,1,/usr/lib/llvm-18/build/utils/lit/tests/Inputs/shtest-format
319846317180,2115,0,1,0,0,1,0,1,/usr/lib/llvm-18/build/utils/lit/tests/Inputs/shtest-format/ext
319846346729,2115,0,1,0,0,1,0,1,/usr/lib/llvm-18/build/utils/lit/tests/Inputs/shtest-format/uns
319846371798,2115,0,1,0,0,1,0,1,/usr/lib/llvm-18/build/utils/lit/tests/Inputs/unittest-adaptor
319846408694,2115,0,1,0,0,1,0,1,/usr/lib/llvm-18/build/utils/lit/tests/Inputs/test-data
319846445111,2115,0,1,0,0,1,0,1,/usr/lib/llvm-18/build/utils/lit/tests/Inputs/shtest-pushd-popd
319846493069,2115,0,1,0,0,1,0,1,/usr/lib/llvm-18/build/utils/lit/tests/Inputs/xunit-output
319846521351,2115,0,1,0,0,1,0,1,/usr/lib/llvm-18/build/utils/lit/tests/Inputs/exec-discovery
319846546150,2115,0,1,0,0,1,0,1,/usr/lib/llvm-18/build/utils/lit/tests/Inputs/shtest-output-pri
319846604113,2115,0,1,0,0,1,0,1,/usr/lib/llvm-18/build/utils/lit/tests/Inputs/discovery
319846641741,2115,0,1,0,0,1,0,1,/usr/lib/llvm-18/build/utils/lit/tests/Inputs/discovery/subdir
319846666414,2115,0,1,0,0,1,0,1,/usr/lib/llvm-18/build/utils/lit/tests/Inputs/discovery/subsuit
319846697634,2115,0,1,0,0,1,0,1,/usr/lib/llvm-18/build/utils/lit/tests/Inputs/shtest-run-at-lin
319846735906,2115,0,1,0,0,1,0,1,/usr/lib/llvm-18/build/utils/lit/tests/Inputs/shtest-run-at-lin
